                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.446,                 2.8898,                 1.1874,                0.90713,                0.90115,                0.94987,                0.55652,                 1.3131,                 1.1294,                 1.2651,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.3755,                0.97498,                 1.2012,                0.84799,                0.87202,                0.91266,                0.51726,                 1.4091,                  2.272,                 1.3941,              0.0012966,              0.0012966,              0.0012966
                      3,                 1.3689,                0.89623,                 1.2498,                0.78546,                0.69345,                0.71856,                0.39004,                 1.6849,                 1.8321,                 1.5709,              0.0019106,              0.0019106,              0.0019106
                      4,                 1.3985,                0.89933,                 1.2598,                0.92716,                0.86905,                0.93593,                0.57347,                 1.2992,                0.94298,                 1.2684,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3762,                0.82965,                  1.246,                0.85962,                0.89286,                0.94476,                0.51727,                 1.4556,                 2.1988,                 1.4949,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3496,                0.81206,                 1.2197,                0.96191,                0.93452,                0.98246,                0.61304,                  1.305,                0.79999,                 1.3217,               0.001802,               0.001802,               0.001802
                      7,                 1.3302,                0.78519,                 1.2248,                0.95123,                0.87069,                 0.9634,                0.61871,                 1.2857,                0.77701,                 1.2985,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3207,                0.74543,                 1.2363,                0.87269,                0.65285,                0.75704,                0.47029,                 1.3898,                 1.4423,                 1.3636,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2907,                0.72127,                 1.1976,                0.91913,                0.94715,                0.98058,                 0.6548,                 1.1348,                0.94073,                 1.1825,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3316,                0.72118,                 1.2085,                0.93145,                0.94048,                0.98223,                0.57431,                 1.4631,                0.71401,                 1.3904,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3102,                0.68226,                 1.2308,                0.95775,                0.94444,                0.98297,                0.62322,                 1.2733,                0.76435,                 1.2747,               0.001604,               0.001604,               0.001604
                     12,                 1.2846,                0.67117,                 1.1912,                 0.9547,                0.97321,                0.98804,                0.65182,                  1.193,                0.82066,                 1.2358,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2172,                0.64148,                 1.1894,                0.96046,                 0.9375,                0.98253,                0.65199,                 1.2053,                0.66883,                 1.2692,              0.0015248,              0.0015248,              0.0015248
